127.0.0.1, 2018-11-04 09:16:32, GET, /favicon.ico, HTTP/1.1, 400, 0.001004
127.0.0.1, 2018-11-04 09:18:00, GET, /admin/default/index, HTTP/1.1, 303, 0.014992
127.0.0.1, 2018-11-04 09:18:00, GET, /admin/default/site, HTTP/1.1, 200, 0.106932
127.0.0.1, 2018-11-04 09:18:00, GET, /admin/static/_2.17.2/images/folder.png, HTTP/1.1, 200, 0.001997
127.0.0.1, 2018-11-04 09:18:00, GET, /admin/static/_2.17.2/images/folder_locked.png, HTTP/1.1, 200, 0.000998
127.0.0.1, 2018-11-04 09:18:00, GET, /admin/static/_2.17.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000999
127.0.0.1, 2018-11-04 09:18:01, POST, /admin/default/check_version, HTTP/1.1, 200, 1.481131
127.0.0.1, 2018-11-04 09:18:03, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-04 09:18:04, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.030982
127.0.0.1, 2018-11-04 09:18:11, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.119927
127.0.0.1, 2018-11-04 09:18:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-04 09:18:15, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.031980
127.0.0.1, 2018-11-04 09:18:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.027982
127.0.0.1, 2018-11-04 09:18:18, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.036978
127.0.0.1, 2018-11-04 09:18:18, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.106933
127.0.0.1, 2018-11-04 09:18:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-04 09:18:23, GET, /admin/default/index, HTTP/1.1, 303, 0.016992
127.0.0.1, 2018-11-04 09:18:23, GET, /admin/default/site, HTTP/1.1, 200, 0.040976
127.0.0.1, 2018-11-04 09:18:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-04 09:18:50, GET, /examples/default/index, HTTP/1.1, 200, 0.091999
127.0.0.1, 2018-11-04 09:18:50, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-04 09:18:50, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-04 09:18:50, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.001998
127.0.0.1, 2018-11-04 09:18:50, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.001998
127.0.0.1, 2018-11-04 09:18:50, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-04 09:18:50, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.002998
127.0.0.1, 2018-11-04 09:18:50, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-04 09:18:50, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000998
127.0.0.1, 2018-11-04 09:18:50, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001997
127.0.0.1, 2018-11-04 09:18:50, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-04 09:18:50, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000999
127.0.0.1, 2018-11-04 09:18:50, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.056964
127.0.0.1, 2018-11-04 09:18:51, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.024857
127.0.0.1, 2018-11-04 09:18:58, GET, /admin/default/site, HTTP/1.1, 200, 0.040974
127.0.0.1, 2018-11-04 09:18:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2018-11-04 09:19:02, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.349216
127.0.0.1, 2018-11-04 09:19:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
